horario,dia_semana,tipo_consulta,pacientes_na_fila_antes,pacientes_agendados_no_mesmo_horario,tempo_medio_consulta_tipo_min,medico_habito_atraso,horario_pico,tempo_de_espera_min
18:00,quarta-feira,Clínico Geral,6.0,0.0,20.0,8.0,não,118
18:15,sexta-feira,Ortopedista,7.0,1.0,35.0,7.0,não,241
18:15,,Clínico Geral,7.0,1.0,20.0,11.0,não,167
18:30,quinta-feira,Dermatologista,,2.0,20.0,,não,180
18:30,terça-feira,Clínico Geral,4.0,3.0,20.0,18.0,não,108
18:30,terça-feira,Clínico Geral,10.0,0.0,20.0,12.0,não,215
19:00,quarta-feira,Clínico Geral,5.0,2.0,,12.0,não,108
19:15,sexta-feira,Cardiologista,7.0,1.0,40.0,17.0,não,303
19:30,quinta-feira,Pediatra,3.0,,25.0,18.0,não,68
20:00,segunda-feira,Pediatra,4.0,1.0,25.0,9.0,não,115
20:00,terça-feira,Cardiologista,4.0,2.0,40.0,,não,191
20:15,segunda-feira,Psicólogo,4.0,1.0,50.0,4.0,não,210
,sexta-feira,Clínico Geral,2.0,1.0,20.0,11.0,não,45
,segunda-feira,Ginecologista,,2.0,30.0,10.0,sim,384
,quinta-feira,Ginecologista,4.0,0.0,,14.0,não,127
